trialType,riskyHigh,riskyLow,EVrisky,varRisky,Vsafe,EVriskyMinusVsafe,chooseRisky,choseSafe,SVrisky,SVdiff,subject,condition,EVdiffMC,condMC,EVcond_int_MC
3,0,-42,-21,42,-25,4,1,0,-75.3005110065942,-50.3005110065942,1,1,3.21278109877598,0.499573014517506,1.5610195436105
3,0,-42,-21,42,-25,4,0,1,-75.3005110065942,-50.3005110065942,1,1,3.21278109877598,0.499573014517506,1.5610195436105
3,0,-100,-50,100,-20,-30,0,1,-1701.43018759868,-1681.43018759868,1,1,-30.787218901224,0.499573014517506,-15.4244629499847
2,15,-5,5,20,0,5,1,0,5.1579595151413,5.1579595151413,1,1,4.21278109877597,0.499573014517506,2.060592558128
3,0,-84,-42,84,-30,-12,0,1,-737.702405577034,-707.702405577034,1,1,-12.787218901224,0.499573014517506,-6.43214868866961
2,40,-31,4.5,71,0,4.5,0,1,6.1195884944569,6.1195884944569,1,1,3.71278109877598,0.499573014517506,1.81080605086925
3,0,-25,-12.5,25,-10,-2.5,0,1,-25.5775756637686,-15.5775756637686,1,1,-3.28721890122402,0.499573014517506,-1.6862050507533
3,0,-70,-35,70,-25,-10,0,1,-352.381202402909,-327.381202402909,1,1,-10.787218901224,0.499573014517506,-5.43300265963459
3,0,-50,-25,50,-20,-5,0,1,-118.893719598946,-98.893719598946,1,1,-5.78721890122403,0.499573014517506,-2.93513758704706
1,25,0,12.5,25,15,-2.5,0,1,10.3628505080189,-4.63714949198111,1,1,-3.28721890122402,0.499573014517506,-1.6862050507533
2,25,-28,-1.5,53,0,-1.5,0,1,-0.622344235238458,-0.622344235238458,1,1,-2.28721890122402,0.499573014517506,-1.18663203623579
2,40,-36,2,76,0,2,1,0,3.82042066937516,3.82042066937516,1,1,1.21278109877598,0.499573014517506,0.561873514575483
1,126,0,63,126,30,33,1,0,27.6823261624089,-2.31767383759106,1,1,32.212781098776,0.499573014517506,16.0486369646182
3,0,-17,-8.5,17,-10,1.5,0,1,-13.6288544224379,-3.62885442243793,1,1,0.712781098775975,0.499573014517506,0.31208700731673
1,75,0,37.5,75,15,22.5,1,0,22.1708566368112,7.17085663681117,1,1,21.712781098776,0.499573014517506,10.8031203121844
1,125,0,62.5,125,25,37.5,1,0,27.6108497064047,2.61084970640473,1,1,36.712781098776,0.499573014517506,18.296715529947
2,75,-26,24.5,101,0,24.5,1,0,28.6595425596768,28.6595425596768,1,1,23.712781098776,0.499573014517506,11.8022663412194
1,54,0,27,54,15,12,1,0,18.2900774309394,3.29007743093943,1,1,11.212781098776,0.499573014517506,5.55760365975055
1,54,0,27,54,15,12,1,0,18.2900774309394,3.29007743093943,1,1,11.212781098776,0.499573014517506,5.55760365975055
3,0,-67,-33.5,67,-30,-3.5,0,1,-300.300771319773,-270.300771319773,1,1,-4.28721890122403,0.499573014517506,-2.1857780652708
2,15,-17,-1,32,0,-1,0,1,-0.679507479445606,-0.679507479445606,1,1,-1.78721890122402,0.499573014517506,-0.936845528977036
2,55,-11,22,66,0,22,1,0,24.0552777051052,24.0552777051052,1,1,21.212781098776,0.499573014517506,10.5533338049256
2,25,-34,-4.5,59,0,-4.5,0,1,-3.39865133613663,-3.39865133613663,1,1,-5.28721890122403,0.499573014517506,-2.68535107978831
3,0,-28,-14,28,-10,-4,0,1,-31.4979739992036,-21.4979739992036,1,1,-4.78721890122403,0.499573014517506,-2.43556457252956
3,0,-90,-45,90,-25,-20,0,1,-1009.95050098677,-984.950500986775,1,1,-20.787218901224,0.499573014517506,-10.4287328048097
3,0,-100,-50,100,-20,-30,0,1,-1701.43018759868,-1681.43018759868,1,1,-30.787218901224,0.499573014517506,-15.4244629499847
2,55,-19,18,74,0,18,1,0,20.2024358209397,20.2024358209397,1,1,17.212781098776,0.499573014517506,8.55504174685558
1,25,0,12.5,25,15,-2.5,0,1,10.3628505080189,-4.63714949198111,1,1,-3.28721890122402,0.499573014517506,-1.6862050507533
1,30,0,15,30,15,0,1,0,37.1762579695298,22.1762579695298,2,0,-0.787218901224025,-0.500426985482494,0.349946386764496
1,50,0,25,50,10,15,0,1,126.283643360663,116.283643360663,2,0,14.212781098776,-0.500426985482494,-7.15645839547291
1,44,0,22,44,20,2,1,0,89.0429532723579,69.0429532723579,2,0,1.21278109877598,-0.500426985482494,-0.650907584200492
1,28,0,14,28,10,4,1,0,32.4554640149807,22.4554640149807,2,0,3.21278109877598,-0.500426985482494,-1.65176155516548
2,55,-74,-9.5,129,0,-9.5,0,1,-5.32270364977078,-5.32270364977078,2,0,-10.287218901224,-0.500426985482494,5.10400274884818
3,0,-84,-42,84,-30,-12,1,0,-1009.93691001494,-979.936910014938,2,0,-12.787218901224,-0.500426985482494,6.35507021255442
1,40,0,20,40,20,0,1,0,70.0882021391227,50.0882021391227,2,0,-0.787218901224025,-0.500426985482494,0.349946386764496
3,0,-74,-37,74,-30,-7,0,1,-570.188068681837,-540.188068681837,2,0,-7.78721890122403,-0.500426985482494,3.85293528514195
3,0,-42,-21,42,-10,-11,1,0,-86.1020588265757,-76.1020588265757,2,0,-11.787218901224,-0.500426985482494,5.85464322707193
2,75,-26,24.5,101,0,24.5,0,1,27.7907773927932,27.7907773927932,2,0,23.712781098776,-0.500426985482494,-11.9105147575566
1,79,0,39.5,79,25,14.5,1,0,630.627497791332,605.627497791332,2,0,13.712781098776,-0.500426985482494,-6.90624490273166
3,0,-36,-18,36,-20,2,0,1,-58.8018026389749,-38.8018026389749,2,0,1.21278109877598,-0.500426985482494,-0.650907584200492
2,15,-8,3.5,23,0,3.5,1,0,3.64546350220052,3.64546350220052,2,0,2.71278109877598,-0.500426985482494,-1.40154806242423
1,40,0,20,40,20,0,0,1,70.0882021391227,50.0882021391227,2,0,-0.787218901224025,-0.500426985482494,0.349946386764496
1,74,0,37,74,30,7,1,0,480.419577972638,450.419577972638,2,0,6.21278109877597,-0.500426985482494,-3.15304251161296
2,25,-34,-4.5,59,0,-4.5,0,1,-3.61710751169059,-3.61710751169059,2,0,-5.28721890122403,-0.500426985482494,2.60186782143572
2,15,-3,6,18,0,6,1,0,6.11812450186305,6.11812450186305,2,0,5.21278109877597,-0.500426985482494,-2.65261552613047
2,55,-28,13.5,83,0,13.5,1,0,15.4543015873169,15.4543015873169,2,0,12.712781098776,-0.500426985482494,-6.40581791724917
1,22,0,11,22,10,1,1,0,20.9778103769272,10.9778103769272,2,0,0.212781098775975,-0.500426985482494,-0.150480598717998
2,75,-48,13.5,123,0,13.5,1,0,17.5745646992473,17.5745646992473,2,0,12.712781098776,-0.500426985482494,-6.40581791724917
2,15,-17,-1,32,0,-1,1,0,-0.743490352244108,-0.743490352244108,2,0,-1.78721890122402,-0.500426985482494,0.850373372246989
3,0,-150,-75,150,-30,-45,0,1,-42410.8209316083,-42380.8209316083,2,0,-45.787218901224,-0.500426985482494,22.8691607334767
2,55,-11,22,66,0,22,1,0,23.6295763775204,23.6295763775204,2,0,21.212781098776,-0.500426985482494,-10.6594472938504
1,22,0,11,22,10,1,1,0,20.9778103769272,10.9778103769272,2,0,0.212781098775975,-0.500426985482494,-0.150480598717998
3,0,-150,-75,150,-30,-45,0,1,-42410.8209316083,-42380.8209316083,2,0,-45.787218901224,-0.500426985482494,22.8691607334767
3,0,-47,-23.5,47,-15,-8.5,0,1,-117.098233015751,-102.098233015751,2,0,-9.28721890122402,-0.500426985482494,4.60357576336569
1,37,0,18.5,37,15,3.5,1,0,58.3095562510321,43.3095562510321,2,0,2.71278109877598,-0.500426985482494,-1.40154806242423
1,126,0,63,126,30,33,1,0,7900.99737858147,7870.99737858147,2,0,32.212781098776,-0.500426985482494,-16.1641441341578
1,95,0,47.5,95,30,17.5,1,0,1496.97657856353,1466.97657856353,2,0,16.712781098776,-0.500426985482494,-8.40752585917914
3,0,-84,-42,84,-30,-12,0,1,-1009.93691001494,-979.936910014938,2,0,-12.787218901224,-0.500426985482494,6.35507021255442
3,0,-33,-16.5,33,-15,-1.5,0,1,-48.2540595124401,-33.2540595124401,2,0,-2.28721890122402,-0.500426985482494,1.10058686498824
2,40,-36,2,76,0,2,1,0,3.45449087154106,3.45449087154106,2,0,1.21278109877598,-0.500426985482494,-0.650907584200492
2,75,-75,0,150,0,0,0,1,5.63555478833523,5.63555478833523,2,0,-0.787218901224025,-0.500426985482494,0.349946386764496
1,42,0,21,42,10,11,1,0,79.0590213177374,69.0590213177374,2,0,10.212781098776,-0.500426985482494,-5.15475045354293
1,74,0,37,74,30,7,1,0,480.419577972638,450.419577972638,2,0,6.21278109877597,-0.500426985482494,-3.15304251161296
1,55,0,27.5,55,30,-2.5,1,0,167.880327937815,137.880327937815,2,0,-3.28721890122402,-0.500426985482494,1.60101385047073
3,0,-79,-39.5,79,-25,-14.5,0,1,-759.210139227666,-734.210139227666,2,0,-15.287218901224,-0.500426985482494,7.60613767626065
2,40,-44,-2,84,0,-2,1,0,-0.238013900428964,-0.238013900428964,2,0,-2.78721890122402,-0.500426985482494,1.35080035772948
2,25,-16,4.5,41,0,4.5,1,0,4.94441961380542,4.94441961380542,2,0,3.71278109877598,-0.500426985482494,-1.90197504790673
2,55,-110,-27.5,165,0,-27.5,0,1,-20.3007828946625,-20.3007828946625,2,0,-28.287218901224,-0.500426985482494,14.1116884875331
3,0,-100,-50,100,-20,-30,0,1,-48.1252988824946,-28.1252988824946,2,1,-30.787218901224,0.499573014517506,-15.4244629499847
2,25,-9,8,34,0,8,1,0,22.2751662100818,22.2751662100818,2,1,7.21278109877597,0.499573014517506,3.55931160168052
2,75,-67,4,142,0,4,0,1,469.713227361113,469.713227361113,2,1,3.21278109877598,0.499573014517506,1.5610195436105
3,0,-56,-28,56,-25,-3,1,0,-27.4054901838434,-2.4054901838434,2,1,-3.78721890122402,0.499573014517506,-1.93599155801205
3,0,-50,-25,50,-20,-5,0,1,-24.5253356638828,-4.52533566388282,2,1,-5.78721890122403,0.499573014517506,-2.93513758704706
3,0,-42,-21,42,-25,4,1,0,-20.6643931677911,4.33560683220889,2,1,3.21278109877598,0.499573014517506,1.5610195436105
3,0,-25,-12.5,25,-10,-2.5,1,0,-12.3805744658683,-2.38057446586826,2,1,-3.28721890122402,0.499573014517506,-1.6862050507533
1,150,0,75,150,30,45,1,0,94311.3403724235,94281.3403724235,2,1,44.212781098776,0.499573014517506,22.0435131388283
1,50,0,25,50,20,5,1,0,174.079160748214,154.079160748214,2,1,4.21278109877597,0.499573014517506,2.060592558128
3,0,-125,-62.5,125,-25,-37.5,0,1,-59.5892289691215,-34.5892289691215,2,1,-38.287218901224,0.499573014517506,-19.171260558866
2,75,-26,24.5,101,0,24.5,1,0,471.862819262607,471.862819262607,2,1,23.712781098776,0.499573014517506,11.8022663412194
1,18,0,9,18,10,-1,1,0,16.6417347913443,6.64173479134425,2,1,-1.78721890122402,0.499573014517506,-0.936845528977036
3,0,-36,-18,36,-20,2,1,0,-17.7530539831183,2.24694601688173,2,1,1.21278109877598,0.499573014517506,0.561873514575483
3,0,-125,-62.5,125,-25,-37.5,0,1,-59.5892289691215,-34.5892289691215,2,1,-38.287218901224,0.499573014517506,-19.171260558866
1,70,0,35,70,25,10,1,0,627.518716418091,602.518716418091,2,1,9.21278109877598,0.499573014517506,4.55845763071553
2,55,-55,0,110,0,0,1,0,152.419979397849,152.419979397849,2,1,-0.787218901224025,0.499573014517506,-0.43727251445953
2,55,-74,-9.5,129,0,-9.5,1,0,152.085050843543,152.085050843543,2,1,-10.287218901224,0.499573014517506,-5.18321615237584
2,25,-50,-12.5,75,0,-12.5,0,1,17.0275285235748,17.0275285235748,2,1,-13.287218901224,0.499573014517506,-6.68193519592836
3,0,-37,-18.5,37,-15,-3.5,1,0,-18.2392107803908,-3.23921078039085,2,1,-4.28721890122403,0.499573014517506,-2.1857780652708
2,40,-44,-2,84,0,-2,1,0,59.6707729916885,59.6707729916885,2,1,-2.78721890122402,0.499573014517506,-1.43641854349454
2,55,-28,13.5,83,0,13.5,1,0,154.07912376188,154.07912376188,2,1,12.712781098776,0.499573014517506,6.30696318152681
1,18,0,9,18,10,-1,1,0,16.6417347913443,6.64173479134425,2,1,-1.78721890122402,0.499573014517506,-0.936845528977036
1,50,0,25,50,20,5,1,0,174.079160748214,154.079160748214,2,1,4.21278109877597,0.499573014517506,2.060592558128
3,0,-67,-33.5,67,-30,-3.5,0,1,-32.6513721591889,-2.65137215918886,2,1,-4.28721890122403,0.499573014517506,-2.1857780652708
2,75,-48,13.5,123,0,13.5,1,0,470.196904317478,470.196904317478,2,1,12.712781098776,0.499573014517506,6.30696318152681
3,0,-125,-62.5,125,-25,-37.5,0,1,-59.5892289691215,-34.5892289691215,2,1,-38.287218901224,0.499573014517506,-19.171260558866
2,40,-8,16,48,0,16,1,0,64.9830164988829,64.9830164988829,2,1,15.212781098776,0.499573014517506,7.55589571782057
3,0,-72,-36,72,-20,-16,0,1,-35.0212296189635,-15.0212296189635,2,1,-16.787218901224,0.499573014517506,-8.43044074673963
2,25,-50,-12.5,75,0,-12.5,1,0,17.0275285235748,17.0275285235748,2,1,-13.287218901224,0.499573014517506,-6.68193519592836
1,60,0,30,60,30,0,1,0,332.168656000502,302.168656000502,2,1,-0.787218901224025,0.499573014517506,-0.43727251445953
3,0,-84,-42,84,-30,-12,0,1,-40.6718368817467,-10.6718368817467,2,1,-12.787218901224,0.499573014517506,-6.43214868866961
1,50,0,25,50,30,-5,1,0,174.079160748214,144.079160748214,2,1,-5.78721890122403,0.499573014517506,-2.93513758704706
1,33,0,16.5,33,15,1.5,1,0,54.9248741915591,39.9248741915591,2,1,0.712781098775975,0.499573014517506,0.31208700731673
3,0,-90,-45,90,-25,-20,0,1,-43.477640798692,-18.477640798692,2,1,-20.787218901224,0.499573014517506,-10.4287328048097
1,55,0,27.5,55,30,-2.5,1,0,240.872705207741,210.872705207741,2,1,-3.28721890122402,0.499573014517506,-1.6862050507533
2,75,-26,24.5,101,0,24.5,1,0,471.862819262607,471.862819262607,2,1,23.712781098776,0.499573014517506,11.8022663412194
2,15,-5,5,20,0,5,0,1,9.20972551845974,9.20972551845974,2,1,4.21278109877597,0.499573014517506,2.060592558128
2,25,-25,0,50,0,0,1,0,18.9009246349551,18.9009246349551,2,1,-0.787218901224025,0.499573014517506,-0.43727251445953
1,74,0,37,74,30,7,1,0,808.022184661598,778.022184661598,2,1,6.21278109877597,0.499573014517506,3.05973858716301
3,0,-25,-12.5,25,-15,2.5,1,0,-12.3805744658683,2.61942553413174,2,1,1.71278109877598,0.499573014517506,0.811660021834236
3,0,-126,-63,126,-30,-33,0,1,-36.7316236169324,-6.73162361693243,3,0,-33.787218901224,-0.500426985482494,16.8640369076868
2,40,-80,-20,120,0,-20,1,0,-47.9516421591069,-47.9516421591069,3,0,-20.787218901224,-0.500426985482494,10.3584860964144
1,50,0,25,50,10,15,1,0,11.1898865891759,1.18988658917585,3,0,14.212781098776,-0.500426985482494,-7.15645839547291
1,50,0,25,50,20,5,1,0,11.1898865891759,-8.81011341082415,3,0,4.21278109877597,-0.500426985482494,-2.15218854064797
1,46,0,23,46,25,-2,0,1,10.8668179063546,-14.1331820936454,3,0,-2.78721890122402,-0.500426985482494,1.35080035772948
3,0,-42,-21,42,-10,-11,1,0,-17.3162788761344,-7.31627887613443,3,0,-11.787218901224,-0.500426985482494,5.85464322707193
3,0,-44,-22,44,-20,-2,1,0,-17.9809353460617,2.01906465393828,3,0,-2.78721890122402,-0.500426985482494,1.35080035772948
3,0,-84,-42,84,-30,-12,1,0,-28.9353409840637,1.06465901593628,3,0,-12.787218901224,-0.500426985482494,6.35507021255442
2,40,-14,13,54,0,13,1,0,8.61239509720086,8.61239509720086,3,0,12.212781098776,-0.500426985482494,-6.15560442450792
3,0,-72,-36,72,-20,-16,1,0,-26.0739698982341,-6.07396989823414,3,0,-16.787218901224,-0.500426985482494,8.35677815448439
3,0,-95,-47.5,95,-30,-17.5,0,1,-31.2866049966673,-1.28660499666733,3,0,-18.287218901224,-0.500426985482494,9.10741863270813
3,0,-56,-28,56,-25,-3,1,0,-21.7142665176567,3.28573348234335,3,0,-3.78721890122402,-0.500426985482494,1.85122734321198
2,55,-28,13.5,83,0,13.5,1,0,4.23748111014274,4.23748111014274,3,0,12.712781098776,-0.500426985482494,-6.40581791724917
2,55,-42,6.5,97,0,6.5,0,1,-6.05998772115025,-6.05998772115025,3,0,5.71278109877597,-0.500426985482494,-2.90282901887171
3,0,-84,-42,84,-30,-12,0,1,-28.9353409840637,1.06465901593628,3,0,-12.787218901224,-0.500426985482494,6.35507021255442
3,0,-60,-30,60,-30,0,1,0,-22.8670821737086,7.13291782629143,3,0,-0.787218901224025,-0.500426985482494,0.349946386764496
2,75,-101,-13,176,0,-13,0,1,-67.0740574081869,-67.0740574081869,3,0,-13.787218901224,-0.500426985482494,6.85549719803691
1,105,0,52.5,105,25,27.5,0,1,12.9144774457919,-12.0855225542081,3,0,26.712781098776,-0.500426985482494,-13.4117957140041
2,75,-75,0,150,0,0,0,1,-32.7325344451933,-32.7325344451933,3,0,-0.787218901224025,-0.500426985482494,0.349946386764496
2,25,-28,-1.5,53,0,-1.5,1,0,-5.46695964373267,-5.46695964373267,3,0,-2.28721890122402,-0.500426985482494,1.10058686498824
2,25,-9,8,34,0,8,1,0,6.19825350982499,6.19825350982499,3,0,7.21278109877597,-0.500426985482494,-3.65346949709545
2,40,-80,-20,120,0,-20,0,1,-47.9516421591069,-47.9516421591069,3,0,-20.787218901224,-0.500426985482494,10.3584860964144
2,25,-50,-12.5,75,0,-12.5,0,1,-22.4011427769256,-22.4011427769256,3,0,-13.287218901224,-0.500426985482494,6.60528370529567
2,25,-5,10,30,0,10,1,0,8.35851191361533,8.35851191361533,3,0,9.21278109877598,-0.500426985482494,-4.65432346806044
3,0,-62,-31,62,-25,-6,0,1,-23.4272689855108,1.57273101448921,3,0,-6.78721890122403,-0.500426985482494,3.35250829965946
2,55,-19,18,74,0,18,1,0,10.0672988559107,10.0672988559107,3,0,17.212781098776,-0.500426985482494,-8.65773935192039
3,0,-22,-11,22,-10,-1,0,1,-9.92656654508361,0.073433454916394,3,0,-1.78721890122402,-0.500426985482494,0.850373372246989
3,0,-30,-15,30,-15,0,1,0,-13.0518813516114,1.94811864838856,3,0,-0.787218901224025,-0.500426985482494,0.349946386764496
2,15,-20,-2.5,35,0,-2.5,0,1,-4.27138339433167,-4.27138339433167,3,0,-3.28721890122402,-0.500426985482494,1.60101385047073
1,75,0,37.5,75,15,22.5,1,0,12.3967852516469,-2.60321474835314,3,0,21.712781098776,-0.500426985482494,-10.9096607865916
3,0,-105,-52.5,105,-25,-27.5,0,1,-33.2210373496714,-8.22103734967141,3,0,-28.287218901224,-0.500426985482494,14.1116884875331
1,50,0,25,50,30,-5,0,1,11.1898865891759,-18.8101134108241,3,0,-5.78721890122403,-0.500426985482494,2.85208131417696
1,42,0,21,42,10,11,1,0,10.4907141921777,0.490714192177682,3,0,10.212781098776,-0.500426985482494,-5.15475045354293
3,0,-74,-37,74,-30,-7,0,1,-26.5738010378451,3.42619896215492,3,0,-7.78721890122403,-0.500426985482494,3.85293528514195
1,25,0,12.5,25,10,2.5,0,1,8.06919705980919,-1.93080294019081,3,0,1.71278109877598,-0.500426985482494,-0.901121076941739
1,42,0,21,42,10,11,0,1,10.4907141921777,0.490714192177682,3,0,10.212781098776,-0.500426985482494,-5.15475045354293
3,0,-50,-25,50,-10,-15,0,1,-19.900786501841,-9.90078650184105,3,0,-15.787218901224,-0.500426985482494,7.8563511690019
3,0,-42,-21,42,-15,-6,0,1,-17.3162788761344,-2.31627887613443,3,0,-6.78721890122403,-0.500426985482494,3.35250829965946
3,0,-25,-12.5,25,-10,-2.5,0,1,-11.1264794220486,-1.1264794220486,3,0,-3.28721890122402,-0.500426985482494,1.60101385047073
1,44,0,22,44,20,2,0,1,10.6859085822272,-9.31409141777276,3,0,1.21278109877598,-0.500426985482494,-0.650907584200492
3,0,-20,-10,20,-10,0,0,1,-7.86938680574733,2.13061319425267,3,1,-0.787218901224025,0.499573014517506,-0.43727251445953
2,55,-11,22,66,0,22,1,0,8.15807911302259,8.15807911302259,3,1,21.212781098776,0.499573014517506,10.5533338049256
