happiness,cond,Vsafe,riskyHi,riskyLo,choseRisky,subjectWon,partnerWon,rewardSubj,rewardPart,subject,EV,ineq,ineqAdv,ineqDisadv,sRPE,pRPE,subjDecided,socialTrial
0.851857531192798,1,-0.15,0,-0.25,1,1,1,0,0,4,-0.125,0,0,0,0.125,0.125,1,1
-0.0917385033592245,2,0.1,0.32,0,1,0,1,0,0.32,4,0.16,1,NaN,1,-0.16,0.16,0,1
0.152855005951462,1,0,0.15,-0.05,1,1,0,0.15,-0.05,4,0.05,1,1,NaN,0.1,-0.1,1,1
1.68140506546609,1,0,0.75,-0.38,1,1,1,0.75,0.75,4,0.185,0,0,0,0.565,0.565,1,1
-1.61704506296021,1,0,0.75,-0.48,1,0,0,-0.48,-0.48,4,0.135,0,NaN,NaN,-0.615,-0.615,1,1
-0.32984501284263,2,0.2,0.63,0,1,1,1,0.63,0.63,4,0.315,0,0,0,0.315,0.315,0,1
-0.00804500031323498,1,-0.1,0,-0.18,1,0,1,-0.18,0,4,-0.09,1,NaN,1,-0.09,0.09,1,1
1.68140506546609,2,0.25,0.79,0,1,1,1,0.79,0.79,4,0.395,0,0,0,0.395,0.395,0,1
-0.973445037901419,2,0.2,0.84,0,1,0,0,0,0,4,0.42,0,NaN,NaN,-0.42,-0.42,0,1
1.68140506546609,1,0,0.55,-0.42,1,1,1,0.55,0.55,4,0.065,0,0,0,0.485,0.485,1,1
4.12137286419395,1,0.2,0.84,0,1,1,0,0.84,0,5,0.42,1,1,NaN,0.42,-0.42,1,1
0.100521289370586,1,-0.1,0,-0.32,1,1,0,0,-0.32,5,-0.16,1,1,NaN,0.16,-0.16,1,1
-1.9099044980411,1,-0.1,0,-0.2,1,1,1,0,0,5,-0.1,0,0,0,0.1,0.1,1,1
0.100521289370586,2,-0.2,0,-0.36,1,0,1,-0.36,0,5,-0.18,1,NaN,1,-0.18,0.18,0,1
0.100521289370586,1,0.15,0.33,0,1,1,0,0.33,0,5,0.165,1,1,NaN,0.165,-0.165,1,1
0.100521289370586,2,0.15,0.75,0,1,1,1,0.75,0.75,5,0.375,0,0,0,0.375,0.375,0,1
0.100521289370586,1,0.15,0.75,0,1,0,1,0,0.75,5,0.375,1,NaN,1,-0.375,0.375,1,1
0.100521289370586,1,-0.3,0,-0.55,1,0,0,-0.55,-0.55,5,-0.275,0,NaN,NaN,-0.275,-0.275,1,1
0.100521289370586,1,0,0.75,-1.5,1,0,1,-1.5,0.75,5,-0.375,1,NaN,1,-1.125,1.125,1,1
0.100521289370586,1,-0.15,0,-0.3,1,1,0,0,-0.3,5,-0.15,1,1,NaN,0.15,-0.15,1,1
